Title,Year,Pages,Notes,id
Christ Our Saviour.,1896,158 p.,"NOTE: Edson White's adaptation for children of materials prepared for Desire Of Ages; amplified in 1900 to 182 p.; 1949 edition with text unchanged entitled, Story Of Jesus.",64
Christ Tempted As We Are.,1894,16 p.,"NOTE: articles from Bible Echo, November 1, 15, December 1, 1892, January 1, 1893; (Bible Students' Library, no. 118).",65
Christian Courtesy.,1895,,"NOTE: Special Testimonies, Series A, no.3.",66
Christian Education.,1893,255 p.,NOTE: from other published sources; replaced by Education in 1903.,67
Christian Experience And Teachings Of Ellen G. White.,1922,268 p.,"NOTE: drawn mainly from Life Sketches, Early Writings, and Testimonies For The Church.",68
Christian Experience And Views.,,,SEE Sketch Of The Christian Experience And Views Of Ellen G. White.,69
Christian Leadership.,1974,77 p.,NOTE: compilation.,70
Christian Service.,,,SEE Instruction For Effective Christian Service.,71
Christian Temperance And Bible Hygiene.,1890,268 p.,NOTE: 162 p. by Ellen G. White; replaced by Ministry Of Healing.,72
Christian's Privilege.,1893,8 p.,"NOTE: article from Advent Review and Sabbath Herald, May 3, 1881; (Apples of Gold Library, no.2).",73
Christs Object Lessons.,1900,436 p.,,74
Church Of Power For All Races.,1911,55 p.,"NOTE: selected from Acts Of The Apostles; (20th Century Library Souvenir, 6) on some covers.",75
Church Schools.,,,"SEE Special Testimony To Battle Creek Church, 1898.",76
Church Schools.,c1899,31 p.,NOTE: published by Union College Press.,77
Circulation Of Our Health Journals.,1901,4 p.,"NOTE: article from Advent Review and Sabbath Herald, November 12, 1901.",78
Climax Of The Ages.,1957,407 p.,"NOTE: subtitled, A Story From The Past Of Faith And Courage... ; edition of The Great Controversy.",79
The Colporteur Evangelist.,1920,112 p.,NOTE: compilation; taken from Manual For Canvassers; replaced by Colporteur Ministry.,80
Colporteur Ministry.,1953,176 p.,NOTE: compilation; an amplification of Colporteur Evangelist.,81
Comfort: Quotations From The Writings Of Ellen G. White.,1996,142 p.,NOTE:compilation.,82
Conference Officers.,1896,,"NOTE: Special Testimonies, Series A, no. 8.",83
Conflict And Courage.,1970,381 p.,NOTE: devotional book.,84
Converted Monk.,1911,47 p.,"NOTE: selected chapters from The Great Controversy; (20th Century Library Souvenir, 8) on some covers.",85
Cosmic Conflict.,1982,640 p.,NOTE: edition of The Great Controversy.,86
Counsel To Christian Stewards.,197-?,15 p.,"NOTE: excerpt from Counsels On Stewardship, section xiv, pp. 323-335; ""compliments of the Potomac Conference Corporation of Seventh-day Adventists.""",87
Counsel To Physicians And Medical Students.,,,"NOTE: manuscript 4a, 1885, in pamphlet form.",88
Counsels For The Church.,1957,2 v.,"NOTE: selected from Testimonies For The Church and other books by Ellen G. White for readers in the Southeast Asia Division; also printed in 1971 by the Signs Pub. Co. in Australia in 2 booklets; facsimile reproduction by the Ellen G. White Estate in 1989, 403 p.; hard-bound edition with additional material--revised introduction and scriptural indexes--in 1991, 462 p.",89
Counsels On Diet And Foods.,1938,511 p.,"NOTE: compilation; a revision and expansion of Testimony Studies On Diet And Foods, a teaching aid compiled by Dr. Harold Walton and printed in Loma Linda, 1926.",90
Counsels On Education.,1968,312 p.,NOTE: compilation; from the 9 volumes of the Testimonies For The Church.,91
Counsels On Health.,1923,696 p.,"NOTE: compilation; subtitled, And Instruction To Medical Missionary Workers.",92
Counsels On Sabbath School Work.,1938,192 p.,NOTE: compilation; amplification of Testimonies On Sabbath School Work.,93
Counsels On Stewardship.,1940,372 p.,NOTE: compilation.,94
Counsels On Teaching.,1976?,,NOTE: from other published sources; (Sabbath School leaflet).,95
Counsels On Work For The Jews.,1966?,,NOTE: from other published sources.,96
Counsels To Editors.,,,SEE Counsels To Writers And Editors.,97
"Counsels To Parents, Teachers, And Students.",,,"SEE Counsels To Teachers, Parents, And Students Regarding Christian Education.",98
Counsels To Physicians And Medical Students.,,44 p.,,99
"Counsels To Teachers, Parents, And Students Regarding Christian Education.",1913,575 p.,"NOTE: compilation from Christian Education, Special Testimonies On Education, and unpublished manuscripts; in 1943 name changed to Counsels To Parents, Teachers, And Students.",100
Counsels To Writers And Editors.,1946,192 p.,"NOTE:compilation; amplification of first edition entitled, Counsels To Editors, 1939, 118 p.",101
Country Living.,1946,32 p.,"NOTE: subtitled, An Aid To Moral And Social Security.",102
Crisis Imminent.,1892,,"NOTE: Special Testimonies, Series A, no.1; also no.1, 2nd ed.",103
Curse Of The Liquor Traffic.,,8 p.,,104
Danger In Adopting Worldly Policy In The Work Of God.,1892,14 p.,"NOTE: Special Testimonies, Series A, no. 2, 2nd ed.",105
Danger Of Rejecting Truth.,,,"SEE Special Testimony To Battle Creek Church, 1896.",106
Danger Of Undue Personal Responsibilities.,1886,,"NOTE: Special Testimonies, Series A, no. 6.",107
Danger To Students.,,,"NOTE: Special Testimonies, Series A, no. 12 and Series B, no. 7.",108
Dangers Threatening The Church.,193-?,8 p.,NOTE: compilation.,109
Darkness Before Dawn.,1997,62 p.,NOTE: selected from The Great Controversy.,110
Day Of The Benediction.,1982?,172 p.,NOTE: edition of Thoughts From The Mount Of Blessing.,111
Decided Action To Be Taken Now.,1903,8 p.,"NOTE: Special Testimonies, Series B, no. 7.",112
The Desire Of Ages.,1898,866 p.,"NOTE: amplification of The Spirit Of Prophecy, v. 2 and v. 3 (first part); (Conflict Of The Ages Series, v. 3).",113
The Desire Of Ages.,1990,2 v.,"NOTE: Bk. 1 subtitled, From Heaven With Love and Bk. 2 subtitled, The Destiny Of The World Decided; published by Family Heritage Books and printed by Pacific Press.",114
Diet And Health.,,16 p.,NOTE: selected from Ministry of Healing.,115
"Dietary Program Of Seventh-day Adventist Institutions And The Use Of Flesh Meat, Tea And Coffee.",1954,50 leaves.,NOTE: compilation; mimeographed.,116
Direct Dependence On God.,1895,,"NOTE: Special Testimonies, Series A, no. 3.",117
Disease And Its Causes.,,,"SEE Health, Or, How To Live.",118
Do You Eat Flesh?,1896,2 p.,,119
Dress Reform.,1868?,15 p.,,120
"Drunkenness And Crime, Their Significance.",,16 p.,"NOTE: from Signs of the Times, November 20, 27, December 4, 1907; (Bible Students' Library, no.196).",121
Early Childhood Education.,1976,182 p.,"NOTE: subtitled, A Comprehensive Compilation Of Ellen G. White Materials Assembled In Age Categories, compiled by Paul Roesel.",122
Early Writings Of Ellen G. White.,1882,265 p.,"NOTE: initially entitled, Early Writings Of Mrs. White, Experience And Views, And Spiritual Gifts, v. 1; a unification of 3 publications: A Sketch Of The Christian Experience And Views Of Mrs. E. G. White, Supplement to Christian Experience And Views, and Spiritual Gifts, v. 1.",123
"Early Writings Of Mrs. White, Experience And Views, And Spiritual Gifts, vol. 1.",,,SEE Early Writings Of Ellen G. White.,124
Economy To Be Practiced In All Things.,1892,,"NOTE: Special Testimonies, Series A, no. 3.",125
Elder Daniels And The Fresno Church.,1890,28 p.,,126
Elect Of God.,1893,8 p.,"NOTE: from The Messenger, April 12, 1893; (Apples of Gold Library, no. 6).",127
Ellen G. White Atlantic Union Gleaner Articles.,1981,444 p.,NOTE: published by Leaves-of-Autumn.,128
Ellen G. White Australasian Record Articles: 1898-1914.,1978,542 p.,NOTE: published by Leaves-of-Autumn.,129
Ellen G. White Gospel Herald Articles: 1898-1914.,1986,173 p.,NOTE: published by Leaves-of-Autumn.,130
Ellen G. White Health Reformer Articles: 1866-1887.,1979,225 p.,NOTE: published by Leaves-of-Autumn.,131
Ellen G. White Pacific Union Recorder Articles: 1901-1914.,1978,314 p.,NOTE: published by Leaves-of-Autumn.,132
Ellen G. White Pamphlets In The Concordance.,,,SEE Pamphlets In The Concordance.,133
Ellen G. White Periodical Resource Collection.,1990-,v.,"NOTE: periodical articles not appearing in Review and Herald, Signs of the Times, or Youth's Instructor.",134
Ellen G. White Present Truth And Review And Herald Articles.,1962,6 v.,NOTE: published by Review and Herald.,135
"Ellen G. White Signs Of The Times Articles, 1874-1915.",1974,v.1-4.,NOTE: published by Pacific Press.,136
Ellen G. White Statements Concerning Secret Vice In Chronological Sequence.,1951,66 leaves.,NOTE: compilation; mimeographed.,137
Ellen G. White Youth's Instructor Articles: 1852-1914.,1986,640 p.,NOTE: published by Review and Herald.,138
Elmshaven Bulletins.,,,SEE Notebook Leaflets.,139
"Elmshaven, St. Helena, Cal., Dec. 6, 1902.",,8 p.,"NOTE: also in Advent Review and Sabbath Herald, January 20, 27, 1903.",140
"Elmshaven, Sanitarium, California.",1904?,4 p.,"NOTE: subtitled, To Conference Officers.",141
The Enlargement Of Our Work.,1893,24 p.,NOTE: portions by Ellen G. White; signed by O. A. Olsen.,142
Existing Evils And Their Remedy.,1890,,"NOTE: Special Testimonies, Series A, no.1; also no.1, 2nd ed.",143
Experience And Views.,,,SEE Sketch Of The Christian Experience And Views Of Ellen G. White.,144
An Exposure Of Fanaticism And Wickedness.,1885,12 p.,NOTE: portions by Ellen G. White about James M. Germier; signed by G.I. Butler and Uriah Smith.,145
Extracts From A Recent Communication.,,,"NOTE: Special Testimonies, Series A, no. 10; not the same as Series A, no. 7.",146
Extracts From Recent Communications.,,,"NOTE: Special Testimonies, Series A, no. 7; not the same as Series A, no. 10.",147
Extracts From Recent Letters From Sister White Relative To Medical Missionary Work.,1893,4 p.,,148
Extracts From Testimonies On Self-Supporting Schools.,,16 p.,NOTE: from other published works.,149
Extracts From Unpublished Testimonies In Regards To Flesh Foods.,1896?,8 p.,,150
Facing Life's Record.,1981,48 p.,NOTE: selected from The Great Controversy.,151
Faith And Works.,1979,122 p.,NOTE: 19 sermons and articles by Ellen G. White.,152
The Faith I Live By.,1958,384 p.,NOTE: devotional book.,153
Faithful Tithe.,1896,,"NOTE: Special Testimonies, Series A, no. 7.",154
Final Crisis And Deliverance.,195-?,23 p.,NOTE: from other published sources.,155
Final War.,1979,218 p.,NOTE: selected from The Great Controversy.,156
First Advent Of Christ With His Life And Ministry.,1877,104 p.,"NOTE: subtitle of Redemption, no. 1.",157
From Eternity Past.,1983,551 p.,NOTE: condensed version of Patriarchs And Prophets.,158
From Heaven With Love.,1984,556 p.,NOTE: condensed version of The Desire Of Ages.,159
From Here To Forever.,1983,420 p.,NOTE: condensed version of The Great Controversy.,160
From Jesus With Love.,1974,33 p.,NOTE: adaption of Steps To Christ.,161
From Riches To Ruin.,1913,77 p.,"NOTE: selected chapters from Patriarchs And Prophets; (20th Century Library Souvenir, 1) on some covers.",162
From Splendor To Shadow.,1984,377 p.,NOTE: condensed version of Prophets And Kings.,163
From The Bottomless Pit To The Golden Age.,1911,48 p.,"NOTE: selected chapters from The Great Controversy; (20th Century Library Souvenir, 10) on some covers.",164
From Trials To Triumph.,1984,314 p.,NOTE: condensed version of Acts Of The Apostles.,165
Fruitful Missionary Field.,,10 p.,"NOTE: article from Southern Watchman, December 15, 1903.",166
Fundamentals Of Christian Education.,1923,576 p.,NOTE: 74 articles from various sources arranged chronologically from 1872-1915.,167
Gems Of Thought From The Pen Of Ellen G. White.,1973,64 p.,"NOTE: ""a collection of living quotations to help all seek to reach the Enoch experience.""",168
General Conference.,1896,,"NOTE: Special Testimonies, Series A, no. 8.",169
Give Me Thine Heart.,1896,,"NOTE: Special Testimonies, Series A, no. 9.",170
Giving To God His Own.,,4 p.,"NOTE: ""excerpts from the writings of Ellen G. White compiled by Elder H. M. Burden from Testimonies for the Church, v. 6, pp. 384-390.""",171
Go Steadily Forward.,,8 p.,"NOTE: selected from Words Of Encouragement To Workers For The Home Missionary Field; about selling Christ's Object Lessons; letter at end signed by W. E. Howell, president of Healdsburg College.",172
God Has Promised.,1982,64 p.,"NOTE: ""a collection of uplifting quotations.""",173
God To Be Inquired Of.,1896,,"NOTE: Special Testimonies, Series A, no. 9.",174
God's Amazing Grace.,1973,383 p.,NOTE: devotional book.,175
God's Claims On His Stewards.,1896,,"NOTE: Special Testimonies, Series A, no. 9.",176
God's Commandment-keeping Church Today.,1911,55 p.,"NOTE: selected chapters from The Great Controversy; (20th Century Library Souvenir, 9) on some covers.",177
God's Desert Broadcast And Dwelling Place.,1913,63 p.,"NOTE: selected chapters from Patriarchs And Prophets; (20th Century Library Souvenir, 4) on some covers.",178
God's Messengers.,1897,,"NOTE: Special Testimonies, Series A, no. 11.",179
"God's Ownership And Man's Stewardship, The Grace Of Giving.",,40 p.,NOTE: from other published sources; compiled by Elder A. T. Robinson.,180
God's Plan For The Relief Of Avondale School.,1900,14 p.,,181
God's Purpose For Our Youth.,,2 p.,"NOTE: from Education, pp. 262-263; (Education Leaflet, no. 17).",182
Gods Reserves -The Tithes.,,,"NOTE: from Counsels On Stewardship, pp. 65-107.",183
Gospel Herald Articles.,,,SEE Ellen G. White Gospel Herald Articles.,184
Gospel Temperance Work.,,14 p.,,185
Gospel Workers.,1892,480 p.,"NOTE: subtitled, Instruction For The Minister And The Missionary; revised and enlarged to 534 p. in the 1915 ed.; pp. 411-471 of the 1892 and 1893 editions are published separately under the title, Morning Talks To The Ministers Assembled At The...; also published separately by Leaves-of-Autumn Books, entitled, Morning Talks; single sermon published as pamphlet, entitled, Christ Our Righteousness.",186
Governing Principles In The Remuneration Of Seventh-day Adventist Workers.,1954,60 p.,"NOTE: mimeographed; ""a compilation from the writings of Ellen G. White.""",187
"Granville, N.S.W., Australia Sept. 13, 1895.",,,"NOTE: Special Testimonies, Series A, no. 4.",188
Great Conflict Between Good And Evil As Illustrated In The Lives Of Holy Men Of Old.,,,SEE The Story Of Patriarchs And Prophets.,189
Great Controversy.,,,SEE Great Controversy Between Christ And Satan During The Christian Dispensation.,190
Great Controversy Between Christ And His Angels And Satan And His Angels.,1858,219 p.,"NOTE: title of Spiritual Gifts, v. 1.",191
Great Controversy Between Christ And His Angels And Satan And His Angels.,1870,414 p.,"NOTE: title of Spirit Of Prophecy, v. 2.",192
Great Controversy Between Christ And Satan As Illustrated In The Lives Of Patriarchs And Prophets.,1890,706 p.,"NOTE: thought to be ""first, but short-lived"" title of Patriarchs And Prophets.",193
The Great Controversy Between Christ And Satan During The Christian Dispensation.,1888,704 p.,"NOTE: this title was first used in 1886 with the fifth edition of what had been volume 4 of the Spirit Of Prophecy, the colporteur edition; volume 4 was rewritten and enlarged in 1888 and the book we popularly know as The Great Controversy was born; revised in 1911; (Conflict Of The Ages Series, v. 5).",194
Great Controversy Between Christ And Satan From The Destruction Of Jerusalem To The End Of The Controversy.,1884,506 p.,"NOTE: title of Spirit Of Prophecy, v. 4.",195
Great Controversy Between Christ And Satan From The Destruction Of Jerusalem To The End Of Time.,,,"NOTE: title of Spiritual Gifts, v. 4, 1884-1887.",196
"Great Controversy Between Christ And Satan. Life, Teaching, And Miracles Of Our Lord Jesus Christ.",1877,396 p.,"NOTE: title of Spirit Of Prophecy, v. 2.",197
"Great Controversy Between Christ And Satan. The Death, Resurrection, And Ascension Of Our Lord Jesus Christ.",1878,392 p.,"NOTE: title of Spirit Of Prophecy, v. 3; 442 p. in subsequent printing.",198
The Great Controversy: Unseen Powers Struggle For Supremacy.,1990,271 p.,NOTE: published by Family Heritage Books and printed by Pacific Press.,199
Greatest Love.,,82 p.,NOTE: edition of Steps To Christ.,200
Greatest Sermon Ever Preached.,,172 p.,NOTE: edition of Thoughts From The Mount of Blessings.,201
Guidelines To Mental Health.,,,"SEE Mind, Character, And Personality.",202
Guiding Principles For The Young.,,12 p.,"NOTE: ""quotations from the scripture and the writings of Mrs. E.G. White""; (Missionary Volunteer Series, no.13)",203
Guiding Principles In Prayer For The Sick.,1937,63 p.,"NOTE: compilation; cover title, Prayer For The Sick.",204
Happiness Digest.,1983,64 p.,NOTE: edition of Steps To Christ.,205
Happiness Homemade.,1971,188 p.,NOTE: abridged edition of Adventist Home.,206
Harvest Ingathering For Foreign Missions.,,,SEE An Appeal To Ministers And Church Officers. . .,207
He Taught Love: Jesus' Lessons For Living.,1987,93 p.,NOTE: selected from Lessons Jesus Taught which is an edition of Christ's Object Lessons.,208
Heal The World: Begin With Yourself.,1997,191 p.,"NOTE: a paraphrased, youth edition of Ministry Of Healing.",209
Health And Happiness.,,384 p.,NOTE: edition of Ministry Of Healing.,210
Health And Healing.,1930,8 p.,,211
Health Food Ministry.,1970,95 p.,NOTE: compilation; prepared by the World Food Service of the General Conference.,212
"Health, Or, How To Live.",1865,,"NOTE: 86 p. by Ellen G. White entitled, Disease And Its Causes; amplification of health articles in v. 4 of Spiritual Gifts; also in Selected Messages, Bk. 2, pp. 409-479.",213
Health Reform And The Health Institute.,1872,53 p.,,214
Health Reformer Articles.,,,SEE Ellen G. White Health Reformer Articles.,215
Healthful Living.,,,SEE Instruction Relating To The Principles Of Healthful Living.,216
Help In Daily Living.,1964,51 p.,NOTE: selected from The Ministry Of Healing.,217
"Here I Am, Lord: Prayers From The Heart Of Ellen White.",1996,112 p.,NOTE: compilation.,218
Hidden Treasures.,198-?,288 p.,NOTE: edition of Christ's Object Lessons.,219
Highways To Heaven.,1952,,NOTE: edition of Christ's Object Lessons.,220
The Hillcrest School Farm: An Appeal From Mrs. E. G. White.,1909?,4 p.,"NOTE: Manuscript 25, 1909.",221
"Hillcrest School Farm, Nashville, Tennessee.",1909,37 p.,"NOTE: ""Some questions answered and an appeal from Mrs. E. G. White""; includes Manuscript 25.",222
Historical Sketches Of The Foreign Missions Of The Seventh-day Adventists.,1886,294 p.,"NOTE: included by Ellen G. White are Practical Addresses, Notes of Travel, and Appeals For Our Missions (120 p.).",223
Holy Spirit Versus Selfishness.,1896,,"NOTE: Special Testimonies, Series A, no. 10.",224
Home And Church School Manual.,1900,108 p.,,225
"Home, Church, And State Schools.",,,SEE Special Testimonies On Church Schools.,226
Home Missionary Work.,190-?,,"NOTE: (Apples of Gold Library, no. 90)",227
"Home Missionary Work, An Appeal. 1896.",,,SEE An Appeal To Our Churches In Behalf Of Home Missionary Work.,228
Homemade Happiness.,1983,61 p.,NOTE: abridged edition of Adventist Home.,229
How To Get Along With Others.,1964,32 p.,NOTE: two chapters from Ministry Of Healing.,230
How To Live.,,,"SEE Health, Or, How To Live.",231
Huntsville School.,1909,16 p.,"NOTE: Special Testimonies, Series B, no.12X; ""the development and maintenance of the Oakwood Manual Training School, Huntsville, Alabama, for the education of workers to labor among the colored people.""",232
I Will Guide Thee.,,,SEE Our First Work.,233
I Will Raise Him Up.,1973,23 p.,NOTE: selected from The Desire Of Ages.,234
Impending Conflict.,1936,127 p.,NOTE: selected chapters from The Great Controversy.,235
Impending Crisis In The United States.,,41 p.,NOTE: selected from The Great Controversy.,236
Importance Of The Right Example On The Part Of Laborers.,1896,,"NOTE: Special Testimonies, Series A, no. 7.",237
Important Facts Of Faith In Connection With The History Of Holy Men Of Old.,1864,304 p.,"NOTE: title of Spiritual Gifts, v. 3.",238
Important Facts Of Faith: Laws Of Health And Testimonies (nos.1-10).,1864,318 p.,"NOTE: title of Spiritual Gifts, v. 4.",239
Important Instruction.,1894,,"NOTE: Special Testimonies, Series A, no. 3.",240
Important Principles.,1885,,"NOTE: Special Testimonies, Series A, no. 6.",241
Important Testimony [1882].,,,SEE Testimony For The Battle Creek Church.,242
Important Testimony.,1903,12 p.,"NOTE: also included is The Work In Greater New York from Testimonies For the Church, v. 7.",243
An Important Testimony To Our Brethren And Sisters In New York.,1887,16 p.,NOTE: subtitled And An Appeal From The New York Conference Committee.,244
Improvement In The Work.,1894,,"NOTE: Special Testimonies, Series A, no. 3.",245
In Heavenly Places.,1967,382 p.,NOTE: devotional book.,246
In Memoriam; A Sketch Of The Last Sickness And Death Of Elder James White.,1881,64 p.,,247
In The Beginning.,1978,87 p.,NOTE: selected from Patriarchs And Prophets.,248
In The Beginning.,1990,175 p.,NOTE: edition of Patriarchs And Prophets published by Family Heritage Books and printed by Pacific Press.,249
Individual Responsibility.,1896,,"NOTE: Special Testimonies, Series A, no. 8.",250
Industrial Education.,19--?,24 p.,NOTE: compilation.,251
Instruction Concerning Education.,1881,4 p.,,252
Instruction For Effective Christian Service.,1925,283 p.,"NOTE: compilation; cover title, Christian Service.",253
Instruction On The Educational Work.,1894,20 p.,"NOTE: from Fundamentals Of Christian Education, pp. 310-327.",254
Instruction On The Subject Of Education.,1895,39 p.,"NOTE: from Fundamentals Of Christian Education, pp. 334-367.",255
Instruction Relating To The Principles Of Healthful Living.,1897,292 p.,"NOTE: compiled by Dr. David Paulson from printed and manuscript sources; 3rd edition, 1898, revised and enlarged; also called, Healthful Living; superseded by The Ministry Of Healing.",256
Jehovah Is Our King.,1907,48 p.,"NOTE: Special Testimonies, Series B, no. 10; ""an appeal to workers in the cause, to walk in humility and faith.""",257
Jewish Messiah.,195-?,,NOTE: adapted from Steps To Christ.,258
Joy: Quotations From The Writings Of Ellen G. White.,1996,144 p.,NOTE: compilation.,259
Justified By Faith.,1893,16 p.,"NOTE: also in Selected Messages, Bk. 1, pp. 389-398; (Bible Students' Library, no. 104).",260
Keys To Greater Success.,,92 p.,NOTE: selected from Medical Ministry and The Ministry Of Healing.,261
Knowing And Obeying The Lord.,1895,4 p.,"NOTE: (Apples of Gold Library, no. 30).",262
Knowing Him Better.,1982,125 p.,NOTE: adapted from Steps To Christ.,263
