"Author","Title","Publisher","Date","Pages","Library","Location","Internet (eBooks)","Notes","id"
,"Gospel Hymns, Consolidated, 1-4, ed. by P.P. Bliss, Ira Sankey, etc.","NY: J. Church and Co.",1883,"400 pp.","B","LLU",,,74
,"Grace and Truth, Vol. 1 [periodical]",,"1870s",,"A",,,,75
,"Greek Grammar",,,,"A",,,,76
,"Hammond's Handy Atlas of the World","NY: C.S. Hammond & Co.",1908,,"B","Harv.",,,77
,"Hampton Negro Conference [pamphlet]",,,,"S",,,,78
,"Harpers [periodical]",,"1877-79",,"A",,,,79
,"Harvard University Miscellany, 1805-1806",,,"2 Vols.","B",,,,80
,"Health Reformer, Vols. I-XIII, XVI [periodical]",,,"13 vols. in 11","C","SDA",,,81
,"Heaven - a book poss. by Kimball (1857), Perkins, ed. (1884), or Moody (1887)",,,,,,,,82
,"Help to the Gospels - see Anon.",,,,"A",,,,83
,"Help to the Gospels, Containing Practical Lessons - see Anon,",,,,,,,,84
,"Helps to Bible Study: Containing a Series of Simple Bible Readings? - see Anon.",,,,,,,,85
,"Helps to Holiness - possibly by Caughey (1852) or Rose (1870), but more likely Brengle (1896)",,,,,,,,86
,"Helps to the Study of the Bible, (Oxford helps)",,,,"C",,,,87
,"Historic Illustrations of the Bible, Principally after the Old Masters - see Anon.",,,,,,,,88
,"History of the Protestant Church in Hungary - see Craig, J.",,,,,,,,89
,"Home Scenes; or, Lights and Shadows of the Christian Homes - see Anon.",,,,,,,,90
,"Homiletic Review, Vols. 13, 14, 15, 21 [periodical]",,,,"C",,,,91
,"Howard University Catalogue [annual]",,"1911, 1912",,"B",,,,92
,"Hymns and Spiritual Songs","[SDA]",1872,,"B",,,"2 copies",93
,"Hymns and Tunes for Those Who Keep the Commandments of God and the Faith of Jesus","Battle Creek, Mi.: Steam Press",1876,"416 pp.","B","SDA, WE",,,94
,"Hymns and Tunes: for those who keep the commandments of God and the faith of Jesus","Battle Creek, Mi.: Steam Press",1869,"424 pp.","B","SDA",,,95
,"Hymns for God's Peculiar People: that Keep the Commandments of God and the Faith of Jesus","Oswego, N.Y.: Richard Oliphant",1849,"47 pp.","B","SDA",,,96
,"Hymns For Those Who Keep the Commandments of God and the Faith of Jesus","Battle Creek, Mi.: Steam Press",1861,,"(B)","WE",,,97
,"Hymns for Youth and Children","[SDA]",1854,,"B",,,,98
,"Hymns, (Stowell) - see Stowell, Hugh",,,,"B",,,,99
,"Hymns, (with music)","[SDA]",,,"B",,,,100
,"In Defense of the Immigrant = American Jewish Yearbook, Vol. 12",,"1910-1911",,"A",,,"eBook on: http://www.ajcarchives.org/main.php?GroupingId=10031",101
,"In the World, but Not of the World - see Anon.",,,,,,,,102
,"Introduction to the Study of the Scriptures - see Goulburn (1857), Nichols (1860), or Harman (1878)",,,,,,,,103
,"Investigator and Expositor of Prophecy, The, ed. J. W. Brooks",,,"5 Vols.","B","AU",,"AU has only vol. 5",104
,"Keepsake of Friendship: a Christmas. . .Annual - see Anon.",,,,,,,,105
,"Keepsake, The - a periodical by that name (1829-1857) - see Anon.",,,,,,,,106
,"Kind Words - see Anon. or Copley",,,,,,,"This is most likely an annual, each year being different, so it is hard to know which year EGW had.",107
,"Ku Klux Conspiracy - see United States Congress",,,,"B",,,,108
,"Ladies Repository [annual], 1856, 1858, 1862, 1866, 1868",,,,"A",,,"2 copies",109
,"Ladies Scrapbook [annual]","Hartford:",1845,,"A","LC",,"Or NY: 1850s.",110
,"Land of the Sky - see Anon.","Western N. Carolina",,,,,,,111
,"Laws of Life, and Temperance Journal, The, ed. Harriet N. Austin and James C. Jackson",,1862,,"B","WE, AU",,"Vols. 5-6",112
,"Le Vetement - see Blanc, Charles",,,,,,,,113
,"Lectures and Sermons - poss. by Black, Davidson, Park, or Punshon, but probably Punshon",,,,,,,,114
,"Levensbulden voor Jong en Oud - see Anon.",,,,,,,,115
,"Liberty, Vols. I-VI [periodical]",,"1906-",,"C",,,,116
,"Life of Christ - see Farrar, Fleetwood, Geikie, or Hanna",,,,,,,,117
,"Life of Wesley - see Watson or Whitehead",,,,,,,,118
,"Lights and Shadows - numerous books with this title, see Anon., Arthur, Brownlee, Winslow, etc.",,,,,,,,119
,"Lives of the Popes - see Anon.",,,,,,,,120
,"Loma Linda Miscellany, Vol. 1",,,,"(B)","SDA, WE",,"Collection of pamphlets, privately bound",121
,"Martha's Home - see Anon.",,,,,,,,122
,"Miracles of Missions - see Pierson, A.T.",,,,"B",,,,123
,"Mirror of the Soul; or, Spiritual Things Discerned - see Anon.",,,,,,,,124
,"Missionary Magazine, Vols. X, XI, XIII [periodical]",,"1898, 1899, 1901",,"C",,,,125
,"Missionary Review of the World, Vols. I, III [periodical]",,"1888, 1890",,"C",,,,126
,"Missions--Sermons on Missions",,,,"C",,,"Tracts, unbound",127
,"Moral and Religious Anecdotes - see Arvine or Macleod, the latter being a revision of Arvine",,,,,,,,128
,"Morning Watch, The; or, Quarterly Journal on Prophecy and Theological Review [periodical]","London: J. Nisbet","1830-33","Vols. 1-7","C",,,"(March, 1829 ? June, 1833)",129
,"Moss Rose - see Anon. or P.B. Power or Chas. Everest",,,,,,,"Like Kind Words, this is sometimes an annual, but we don't know which year EGW may have had.",130
,"My Mother - possibly by Bushnell, but probably by Mitchell (both published in 1849)",,,,,,,,131
,"Napa City and County Portfolio and Directory","Napa, Cal.: H.A. Darms",1908,"123 pp.","B","PUC, Col.U.",,,132
,"National Freedman, Vols. 1-3 [periodical]",,"1865-69",,"B",,,,133
,"National Negro Business League",,1900,,"B",,,,134
,"National Temperance Society - see Anon. Temperance Sermons",,,,,,,,135
,"Negro Problem, The",,,,"S",,,"7 scrapbooks: 1903-1910;1908-1910;1907-1908;1907-1909;1909; 1910-1911;1911-1912",136
,"Negro Schools, Miscellany, Vol. III, and state papers",,,,"B",,,"Pamphlets, etc.",137
,"Negroes in the U.S., (Bulletin 8)","Washington, D.C.: Government Printing Office",1904,,"B","WE",,,138
,"New Life - see Anon., or possibly authored by Andrew Murray",,,,,,,,139
,"New San Francisco Magazine [periodical]",,"May, 1900",,"B",,,,140
,"New Testament--revised version--3 copies",,,,"A",,,,141
,"New York Improvement and Tunnel Extension of the Pennsylvania Railroad",,,,"B",,"WWW","See: http://prr.railfan.net/documents/NewYorkImprovements.html",142
,"Old Testament History, Vols. 1-4 - see Edersheim, Alfred",,,,,,,,143
,"One Thousand Gems - see Beecher or Talmage",,,,,,,,144
,"Order of Administration of the Sacraments and Other Services for the ... Methodists - see Anon.",,,,,,,,145
,"Outline of Mission Fields Entered by Seventh-day Adventists - see Anon.",,,,,,,,146
,"Pacific Union Recorder, Vols. I-V [article]",,,,"C","SDA",,,147
,"Palmoni: An Essay on the Chronographical and Numerical Systems in Use Among the Ancient Jews","London: Longman, Brown, Green, & Longmans",1851,"681 pp.","B","WE, LLU","Goo","Probably written by Francis J. Hooper",148
,"Parables of Our Lord - see Dods (in WE) or Trench (in WE), also Arnot (1865), Bourdillon (1868), or Calderwood (1881)",,,,,,,"LSU and AU have William Arnot (1865) - perhaps EGW had that also",149
,"Pearly Portals, (S.S. Songbook) by L.S. Hakes",,,,"B","SDA",,,150
,"Perfect Love; or, The speeches of Rev. E.L. Janes, et al. - see Anon.",,,,,,,,151
,"Pictures of Hindoo Life; or, India without the Gospel and with the Gospel - see Anon.",,,,,,,,152
,"Plain Commentary on the Minor Prophets - see Anon.",,,,"A",,,,153
,"Practical Tracts","[SDA]",,,"B",,,,154
,"Present Truth, Vol. 1 [periodical]",,"1849-50",,"B","SDA, WE",,,155
,"Principles of the Jesuits Developed in a Collection of Extracts from their own Authors - see Anon.",,,,,,,,156
,"Proceedings of the 5th Conference for Education in the South","Raleigh, N.C.: Edwards & Broughton","1898-1914",,"S","NYPL","Arch","102 pp.; 8th Conf. (paper), 166 pp.; 10th Conf. (paper), 300 pp.",157
,"Pulpit Commentary, I, II Kings;I, II Chronicles;Ezra, Nehemiah, Esther","London: C. Kegan Paul & Co.",1880,"52 Vols.","C","AU, LLU, LSU, PUC",,,158
,"Quiver (periodical)",,1893,,"A",,,"2 copies",159
,"Race Problems of the South, (Conference Report) - see Southern Society",,,,"S",,,,160
,"Religious Bodies: 1906, 2 Parts","Washington, D.C.: Government Printing Office",1910,,"B","WE, AU",,,161
,"Report of the Dept. of Educ. (Georgia, 1905)",,,,"B",,,,162
,"Report of the Secretary of the Interior: Education, Vol. 5",,1895,,"B",,,,163
,"Report of the Superintendent of Public Instruction",,,,"B",,,"Arkansas, 1901-04; Georgia, 1901; Kentucky, 1900-01, 1903-07; Louisiana, 1900-01; N. Carolina, 1900- 02, 1904, 1907; Virginia 1901-05",164
,"Report on the History and Recent Collation of the English Version of the Bible [pamphlet]","NY: American Bible Society's Press",1851,"32 pp.","C","UChicago, SBTS",,"Tract",165
,"Representative Men of Michigan - see Anon., American Biographical History?",,,,"B",,,"2 copies",166
,"Review and Herald, Vols. 2-36, 38-40, 42-45, 46, 48, 51, 52, 57, 60-64, 66-69, 76-88 [periodical]",,,,"B","SDA, WE",,,167
,"Revision [of NT]",,,,"C",,,"Seven pamphlets bound in one volume",168
,"Rules of Faith - most likely book by Peck (1844), but possibly Goode (1853) or Hughey (1870)",,,,,,,,169
,"Sabbath Pamphlets",,1851,,"B","WE",,,170
,"Sabbath-school Worker [periodical]",,"1894, 1904",,"C","SDA",,,171
,"Scenic Treasures of California - see Tom Jones",,,,"B",,,,172
,"School Management - a book by Holbrook (1873), Baldwin (1881), Raub (1882), Landon (1887), or Emerson White (1893)",,,,"A","AU, etc.",,,173
,"School Report","Tenn.",1905,,"B",,,,174
,"Scriptural Index to Mrs. E. G. White's Works",,,,"B","SDA",,,175
,"Scripture History - most likely the book by Joseph Hall, cf. Riddle (1857; 1871) or Richards (1880)",,,,,,,,176
,"Sermon Bible Commentary; The Sermon Bible; Isaiah to Malachi","NY: Funk and Wagnalls",1909,"12 Vols.","C","AU",,,177
,"Seven Kings of Rome - see Anon.",,,,,,,,178
,"Seventh-day Adventist Year Book",,"1859 sic, 1882-94, 1904-09",,"B","SDA",,,179
,"Short Talks - see Pearse (1889), Howerton (1892), or Moody (1900), most likely Moody",,,,,,,,180
,"Signes des Temps, Les Vols. VII-IX [periodical]",,"July 1882-June 1885",,"C","SDA",,,181
,"Signs of the Times [periodical]",,"1890, 1904-10",,"C","SDA",,"Weekly magazine",182
,"Signs of the Times Monthly, Vols. 1-3 [periodical]",,,,"C","SDA",,,183
,"Signs of the Times, Vols. 1-8, 10, 12, 13, 15-19, 21-24, 26-40 [periodical]",,"1874-1914",,"B","SDA",,,184
,"Signs of the Times, Vols. 2-6 [periodical]","publ. by J.V. Himes","1841-1844",,"B","SDA",,,185
,"Sin and Salvation - most likely the book by West (1885), less likely by Nelson (1881)",,,,,,,,186
,"Small Fruits: How to Cultivate and How to Can","Battle Creek, Mi.: Review and Herald",1870,,"B","SDA",,,187
,"Song Books, 28 misc.",,,,"A",,,,188
,"Songs of the Spirit","NY: A.D.F. Randolph",1871,,"C",,,,189
,"South Carolina--Handbook",,1908,,"B",,,,190
,"Southern Schools","U.S. Comm. on Education",,"Vols. 1, 2","B",,,"No periodical or book with that title; possibly some bound vols. of pamphlets.",191
,"Southern Watchman [periodical]",,"1904-10",,"C","SDA, WE",,,192
,"Spanish Reformation-Geschichte des Verbreitung des Protestantismus in Spanien... Aus dem Franzosichen","Liepzig",1828,,"B",,,"Only 5 libraries in Germany have this",193
,"Spanish Reformation-Le Procez, et les Souffrances de Mr. Isaac Martin, Qui fur mis a L'Inquisition en Espagne","London:",1723,,"B","LC, Drew",,,194
,"Speakers' Commentary - see Cook, Frederic C. Holy Bible",,,,,,,,195
,"Springtime (annual) - see Anon. Springtime",,"1886-1932",,,,,,196
,"Standard Dictionary, Old Edition",,,,"B",,,"Many eds.",197
,"Stateman's Year-Book, The; Statistical and Historical Annual of the States of the World","NY: St. Martin's Press",1906,,"B","LC, AU",,"AU has 1891 ed.",198
,"Steps in the Dark - see Anon.",,,,,,,,199
,"Story of Joseph - see White, James E.",,,,,,,,200
,"Sunday at Home [periodical]","London","1872, 1887, 1888",,"A",,,"Published May 4, 1854-1908, London",201
,"Sunday Readings; or, the Child's Sabbath Pleasantly and Profitably Employed - see Anon.",,,,,,,,202
,"Talks on Temperance - a book by Farrar or Moody (1877), but most likely Moody (1877)",,,,,,,,203
,"Temperance Tracts - see Anon. Select Temperance Tracts or Anon. Temperance Tracts",,,,,,,,204
,"Temperance Volume - see Anon.",,,,,,,,205
,"The Bible-Reading Gazette","Battle Creek, Mi.: Review and Herald",1885,"288 pp.","(B)","WE, SDA",,"Several diff. printing dates; forerunner of Bible Readings for the Home Circle.",206
,"The Children's Guest [periodical]",,"1863-",,"B",,,,207
,"The Expository Times [periodical]",,"1890-1896","Vols. II-VI, VIII","C","AU",,,208
,"The Freedman [periodical]","NY: American Tract Society",1864,,"B",,,,209
,"The Gospel in All Lands [periodical]","NY: A.D.F. Randolph","1880-1903",,"C",,,,210
,"The Issue [periodical]","Jackson, Miss.:","1908-09",,"B",,,"Vol. 1",211
,"The Life and Times of John Wycliffe, the Morning Star of the Reformation - see Anon.",,,,,,,,212
,"The Literalist, Joshua W. Brooks, ed. [periodical]","Phila.: O. Rogers",,"5 Vols.","B",,,,213
,"The Living Way (periodical)","Oakland or San Francisco","ca. 1900",,"B",,,,214
,"The Missionary Herald, Proceedings of the American Board of Comm. for Foreign Missions","Boston: T. R. Marvin","1844, 1846-1852",,"(B)","WE",,,215
,"The Oxford Debate on Textual Criticism - see Ince, William",,,,"C",,,,216
,"The Parables of Jesus - book by Lisco (1853), or Nevin (1881), or Goebel (1883) - same title",,,,,,,,217
,"The Person of Christ - see Schaff (1865), or Pope (1875)",,,,,,,,218
,"The Sabbath Memorial [periodical]","London: W.M. Jones","1875-1890",,"C",,,,219
,"The Second Coming, the Judgment, the Kingdom of Christ - see Twelve Clergymen",,,,,,,,220
,"The Student's Scripture History, - See Smith, William. O.T. History",,,,,,,,221
,"The True Missionary [periodical]","Battle Creek, Mi.",,,"B","SDA",,,222
,"The Twentieth Century New Testament","London: Horace Marshall & Son.",1899,"209,193 pp.","(B)","WE, AU, LLU","Goo","Part 1 of 2 parts; ed. by B.F. Westcott",223
,"The Wicket Gate: Short Narratives of the Turning of Sinners to God - see Anon.",,,,,,,,224
,"Theory and Practice of Teaching - only 2 poss., Page or Thring (1883, etc.), most likely Page",,,,,,,,225
,"Time of the End Not Yet - see Anon. Time of the End Not Yet",,,,"C",,,,226
,"Tracts",,1843,,"B",,,"This is probably a bound volume of Millerite tracts: Second Advent Tracts (1842-1843)",227
,"Trigonometry - see Olney; another possibility is Loomis (1865). Elements of Plane and Spherical Trigonometry",,,,"A",,,,228
,"Two Covenants - J.N. Andrews (1875), G.G. Ruppert (1907), or Murray (1898), but probably Murray",,,,,,,,229
,"Vetement (Le) - see Blanc, Charles",,,,,,,,230
,"Which, the Right or the Left - see Anon.",,,,,,,,231
,"Willard Prime - see Anon.",,,,,,,,232
,"Women of Worth: a Book for Girls - see Anon.",,,,,,,,233
,"Young Ladies Book - see Anon. or Young Lady's Book by Wm. Hosmer (1851)",,,,,,,,234
,"Youth's Instructor and Sabbath-school and Bible Class Assistant [periodical]","NY: Episcopalian","1829-30","Vol. 1","B","WE",,"New series (non-SDA)",235
,"Youth's Instructor, Vols. 2, 3, 6-12, 19-21, 23, 25, 27-35, 37, 38, 40-43, 45, 46, 61, 62 [periodical]",,"1853-1899, 1901-10",,"C","SDA",,,236
"Abbott, John S.C.","The History of Christianity...","Portland, Maine: George Stinson & Co.",1885,"521 pp.","B","WE, AU, LLU, LSU","Arch",,237
"Adams, Charles","Words That Shook the World; or, Martin Luther His Own Biographer","NY: Carlton and Porter",1858,"333 pp.","(A),B,H","WE, AU","Goo",,238
"Adams, William H.","In Perils Oft: Romantic Biographies Illustrative of the Adventurous Life","NY: T.Y. Crowell & Co.",1886,"542 pp.","B","AU, LC","Goo",,239
"Aguilar, Grace","Home Influence; a Tale for Mothers and Daughters","NY: Harper & Brothers",1851,"386 pp.","A","WEa, AU, LLU","MOA","Also, London: J. Heywood, 421 pp. [EGW Lt. 45c, 1880]",240
"Aguilar, Grace","The Women of Israel","Phila.: D. Appleton",1851,"2 vols.","A","AU, LC, LLU, LSU","MOA",,241
"Alcott, William A.","The Laws of Health","Boston: John P. Jewett & Co.",1860,"424 pp.","A,H","WE, AU","Goo",,242
"Alcott, William A.","The Young Man's Guide","Boston: S. Colman",1835,"354 pp.","A","AU, LC, LLU","DBI","6th ed.",243
"Alexander, Archibald","Evidences of the Authenticity, Inspiration, and Canonical Authority of the Holy Scriptures","Phila.: Presbyterian Board of Publ.",1836,"308 pp.","C","AU","Arch",,244
"Alexander, James W.","Thoughts on Family-Worship","Phila.: Presbyterian Board of Publ.",1847,"260 pp.","C","AU","Arch",,245
"Alexander, Joseph A.","Commentary on the Prophecies of Isaiah, ed., J. Eadie","NY: C. Scribner's Sons",1886,"2 vols.","C","AU (1865)","MOA",,246
"Alford, Henry","The New Testament for English Readers","Boston: Lee and Shepard",1872,"2 Vols. in 4","C","AU","Goo",,247
"Alison, Archibald","History of Europe from the Commencement of the French Revolution in 1789 to the Restoration of the Bourbons in 1815","NY: Harper & Bros.",1842,"4 Vols.","C","WEa, AU","Goo","vols. 2 and 3 only in WE",248
"Anderson, (Sir) Robert","Pseudo-Criticism; or, The Higher Criticism and Its Counterfeit","NY, Chicago: Fleming H. Revell",1904,"123 pp.","C","AU","Goo",,249
"Anderson, Christopher","The Annals of the English Bible, ed. by Hugh Anderson.","London: Jackson",1862,"683 pp.","C","AU","Arch","a new and rev. ed., 1st publ. 1840",250
"Anderson, James S. M.","Discourses on Elijah and John the Baptist","London: J.G. & F. Rivington",1835,"373 pp.","B","WE, Pitts. Theol. Sem.","Goo",,251
"Anderson, John","Chronicles of the Kirk; or, Scenes and Stories from the History of the Church of Scotland","Edinburgh: T. & T. Clark",1849,"588 pp.","C","AU",,,252
"Anderson, Mrs. E. F. S.","His Words; All the Words of Jesus Christ","Chicago: Fleming H. Revell",1889,"243 pp.","A","WE, Vanderb.",,"comp.",253
"Andrews, Edward G., ed.","The Doctrines and Discipline of the Methodist Episcopal Church","NY: Eaton and Mains",1896,"418 pp.","B","WE, LLU, LSU","Goo",,254
"Andrews, John N.","History of the Sabbath",,,,"B","SDA",,"French",255
"Andrews, John N.","History of the Sabbath and the First Day of the Week,2nd ed.","Battle Creek, Mi.: Steam Press",1873,"528 pp.","(B)","WE, SDA","GCArch","(Also 1912 ed.)",256
"Andrews, John N.","The Bible Sabbath",,1870,,"B","SDA",,"SDA",257
"Andrews, John N.","The Commandment to Restore and Build Jerusalem",,1865,,"B","SDA",,"SDA",258
"Andrews, John N. and L. R. Conradi","History of the Sabbath and the First Day of the Week","Washington, D.C.: Review and Herald",1912,"216 pp.","(B)","WE, SDA",,,259
"Andrews, John N. and L.R. Conradi","Sabbath in History","Berean Library #6",,,"B","SDA",,"SDA",260
"Andrews, John N. and L.R. Conradi","Sabbath in the Scriptures","Berean Library #5",,,"B","SDA",,"SDA",261
"Andrews, John N., et al.","Sermons on the Sabbath and the Law","Battle Creek, Mi.: Steam Press",1870,,"(A)","WE, SDA",,"(2 copies)",262
"Andrews, Samuel J.","The Life of Our Lord upon the Earth Considered in Its Historical, Chronological, ... Relations","NY: Scribner's Sons",1891,"651 pp.","B","WE, SDA","Goo",,263
"Andrews, William W.","Edward Irving.","From: The New Englander","Oct. 1863.","Vol. 18 of Biographical Pamplets","C",,,,264
"Andross, Elmer E.","A More Excellent Ministry","Mountain View: Pacific Press Publ. Assn.",1912,"215 pp.","B","WE, SDA",,,265
"Angley, John G.","Hezekiah and Sennacherib: A Parallel","James Blackwood",1858,,"C","BL",,"No U.S. library has this (see British Libr. or Nat. Libr. of Scotland)",266
"Anon.","A Collection of Interesting Tracts Explaining Several Important Points of Scripture Doctrine","NY: Carlton & Porter",1861,"204 pp.","B","WE, AU","Arch",,267
"Anon.","A Dictionary of the Holy Bible, for General Use","NY: American Tract Society",1859,"534 pp.","A","AU, LLU, WEa","MOA",,268
"Anon.","A Help to the Gospels, Containing ...Practical Lessons","NY: American Sunday School Union",1829,,"A","UTS, NYPL","Goo,Arch",,269
"Anon.","A Plain Commentary on the Minor Prophets, by the author of ""Christ in the Law""",,,,"B","AU",,"Only other library to have this: Lutheran Theol. Sem. Authored most likely by Robt. H.N. Browne.",270
"Anon.","American Biographical History of Eminent and Self-Made Men. Michigan Volume","Cincinnati: Western Biographical Publ. Co.",1878,"2 Vols.","A,B","WE","Goo","(3 copies of Vol. 1 only) Running head: ""Representative Men of Michigan""[EGW Lt. 28, 1882]",271
"Anon.","Atlanta University [Bulletin?]",,,"Vol1","B",,,,272
"Anon.","Besieged City and the Heroes of Sweden","Nashville: Pub. House of the M.E. Church","1890-1902?","221 pp.","A","Drew","Goo,Arch",,273
"Anon.","Bible Footlights: For the Pilgrim's Path","Nashville, Tenn.: Southern Publishing Assoc.","c.1907","322 pp.","B","WE, SDA",,"(Berean Library 9)",274
"Anon.","Bible Readings for the Home Circle: Comprising One Hundred and Sixty-Two Readings","Battle Creek, Mi.: Review and Herald Publ.",1891,"391 pp.","B","WE, SDA","GCArch","(several editions)",275
